id,pali_1,commentary
1595,accuta 1,(NIDD2 2.8) <b>accutan</b>'ti niccaṃ dhuvaṃ sassataṃ avipariṇāmadhamman'ti
1555,acchinna 1.1,"(VIN 1.4.6) <b>acchinna</b>cīvaro nāma bhikkhussa cīvaraṃ <b>acchinnaṃ</b> hoti rājūhi vā corehi vā dhuttehi vā, yehi kehici vā <b>acchinnaṃ</b> hoti."
6202,aññā 2,(MNa) na <b>aññā</b>'ti jānan'atthāya cittaṃ na upaṭṭhapenti.
11194,atisithilavīriya,(ANa) atilīnan'ti <b>atisithilaṃ</b>.
11377,attaṃ nirattaṃ,(NIDD1) <b>attā</b>'ti attānudiṭṭhi n'atthi. <b>nirattā</b>'ti ucchedadiṭṭhi n'atthi.<b> attā</b>'ti gahitaṃ n'atthi. <b>nirattā</b>'ti muñcitabbaṃ n'atthi.
11718,atthavādī 1,(DNa) diṭṭhadhammikasamparāyikatthasannissitam'eva katvā vadatī'ti <b>atthavādī</b>
7204,anupakhajja 1,(MNa) <b>anupakhajjā</b>'ti anupavisitvā.
7350,anupavajja,(SNa) <b>anupavajjan</b>'ti appavattikaṃ appaṭisandhikaṃ.
8631,apattamānasa,(SNa) <b>appattamānaso</b>'ti appattārahatto
264,abhāsamāna,(ANa) <b>nābhāsamānan</b>'ti na akathentaṃ.
359,abhichanna,(SNPa) bahun'<b>ābhichanno</b>'ti bahunā rāg'ādikilesajālena <b>abhicchanno</b>. etena ajjhattabandhanaṃ vuttaṃ.
4655,amatadhātu,(ANa) <b>amatāya</b> <b>dhātuyā</b>'ti nibbānadhātuyā.
4845,amissīkata,"(ANa) <b>amissīkatan</b>'ti kilesā hi ārammaṇena saddhiṃ cittaṃ missaṃ karonti, tesaṃ abhāvā amissīkataṃ."
13008,ayosaṅku,(SNa) <b>ayosaṅkunā</b>'ti ayasūlena.
10622,assāsa 2,(ANa) <b>assāsā</b>'ti avassayā patiṭṭhā.
12727,avītataṇha,(SNPa) <b>avītataṇhāse</b>'ti avigatataṇhā.
12358,aveccappasāda,(DNa) <b>aveccappasādenā</b>'ti acalappasādena
12354,avecca 1,(KNa) paññāya ajjhogāhetvā
2710,āgatigati,"(Sna) <b>āgatigati</b> na hotī'ti paṭisandhivasena āgati nāma, cutivasena gamanaṃ nāma na hoti."
5819,āneñjappatta,(ANa) <b>āneñjappattan</b>'ti acalappattaṃ.
4390,ālimpesi,(ANa) <b>ālimpeyyā</b>'ti tattha aṅgāre pakkhipitvā aggiṃ datvā nāḷikāya dhamanto aggiṃ gāhāpeyya.  (VISMa) ālimpetī'ti ādīpeti jāleti.
9822,āsādana 1,(VIN 2.1.36) <b>āsādan</b>'āpekkho'ti iminā imaṃ codessāmi sāressāmi paṭicodessāmi paṭisāressāmi maṅku karissāmī'ti
24533,icchānidāna,(SNPa) <b>icchānidānā</b>'ti taṇhāhetukā.
25045,iṭṭha 1,(MNa) <b>iṭṭhānan</b>'ti pariyesitānaṃ.
62901,upapāramī,"(KNa) tattha dānapāramiyaṃ tāva bāhirabhaṇḍapariccāgo pāramī nāma, aṅgapariccāgo <b>upapāramī</b> nāma, jīvitapariccāgo paramatthapāramī nāmā'ti."
62999,uparūpari,(ANa) <b>uparūpari</b> caṅkamatī'ti matthaka-matthake caṅkamati.
63288,upavajja 2,(ANa) <b>upavajjan</b>'ti upavād'ārahaṃ.
38506,odanakummāsūpacaya,(SNa) <b>odanakummāsūpacayassā</b>'ti odanena ceva kummāsena ca upacitassa vaḍḍhitassa.
28082,kaṭasī,(SNa) <b>kaṭasī</b>'ti susānaṃ
26772,kāmaguṇa 1,(NIDD1) <b>kāmaguṇā</b>. cakkhuviññeyyā rūpā iṭṭhā kantā manāpā piyarūpā kāmūpasaṃhitā rajanīyā; saddā... gandhā... rasā... phoṭṭhabbā...
26884,kāmayāna,(NIDD I) <b>kāmayānassā</b>'ti kāme icchamānassa sādiyamānassa patthayamānassa pihayamānassa abhijappamānassa.
