compound	split
kenacideva	kenaci + eva
caparaṃ	ca + paraṃ
sakideva	saki + eva
āmāti	āma + iti
tyāhaṃ	te + ahaṃ
vātipi	vā + iti + api
sohaṃ	so + ahaṃ
teyeva	te + eva
nāhaṃ	na + ahaṃ
sopissa	so + api + assa
yepissa	ye + api + assa
somhi	so + amhi
atoti	ato + iti
tepi	te + api
svāyaṃ	so + ayaṃ
svāssa	so + assa
yeme	ye + ime
yepi	ye + api
sāva	sā + eva
isīti	isi + iti
midhekaccaṃ	m + idha + ekaccaṃ
midhekaccaṃ	m + idhekaccaṃ
soyeva	so + eva
teti	te + iti
sopi	so + api
vātiādikaṃ	vā + iti + ādikaṃ
vātiādimāha	vā + iti + ādiṃ + āha
vātiādīni	vā + iti + ādīni
sāpi	sā + api
sāssa	sā + assa
tāyapi	tāya + api
tāyeva	tāya + eva
tāyevappāhāratāya	tāya + eva + appāhāratāya
tāyevāti	tāya + eva + iti
yantīti	yanti + iti
attanti	attaṃ + iti
kāyantīti	kāyanti + iti
yvāyanti	yo + ayaṃ + iti
yāyantipi	yā + ayaṃ + iti + api
yāyantīti	yāyanti + iti
āyantīti	āyanti + iti
ayatīti	ayati + iti
dentoti	dento + iti
ayoti	ayo + iti
kamettha	kaṃ + ettha
kaṃsi	kaṃ + asi
kamuddiseyyaṃ	kaṃ + uddiseyyaṃ
kañca	kaṃ + ca
kaññādānaṃ	kaññā + ādānaṃ
seyyathidanti	so + yathā + idaṃ + iti
tāvadeva	tāva + eva
tāvadevassa	tāva + eva + assa
tāvāhaṃ	tāva + ahaṃ
nanti	naṃ + iti
tāpi	tā + api
taṃpassa	taṃ + api + assa
maṃyeva	maṃ + eva
mañhi	maṃ + hi
maññeva	maṃ + eva
santettha	santi + ettha
santibhūtaṃ	santi + bhūtaṃ
santiupāyameva	santi + upāyaṃ + eva
udakaṭṭhānetipi	udaka + ṭhāne + iti + api
uraṭṭhiṃ	ura + aṭṭhiṃ
nevāhaṃ	na + eva + ahaṃ
yaññupāsanādinā	yaṃ + upāsana + ādinā
hāyasmantotiādimāhaṃsu	hi + āyasmanto + iti + ādiṃ + āhaṃsu
yampidaṃ	yaṃ + api + idaṃ
tiha	t + iha
disañca	disaṃ + ca
nāpi	na + api
nesā	na + esā
neso	na + eso
nesohamasmi	na + eso + ahaṃ + asmi
nete	na + ete
neva	na + eva
nevassa	na + eva + assa
nevattabyābādhāyapi	na + eva + attabyābādhāya + api
nevattantapo	na + eva + attantapo
nevattānukkaṃseti	na + eva + attānukkaṃseti
yāhaṃ	yaṃ + ahaṃ
yāhaṃ	yā + ahaṃ
yaṃkiñci	yaṃ + kiñci
yaṃnūnāhaṃ	yaṃ + nūna + ahaṃ
yaṃnūnāhamettha	yaṃ + nūna + ahaṃ + ettha
yaṃnūnāhanti	yaṃ + nūna + ahaṃ + iti
yampi	yaṃ + api
yampissa	yaṃ + api + assa
yampudāyi	yaṃ + api + udāyi
yaṃyadeva	yaṃ + yad + eva
yañhi	yaṃ + hi
yannūnāhanti	yaṃ + nūna + ahaṃ + iti
yāpi	yā + api
yāpissa	yā + api + assa
yeva	y + eva
yeva	eva
yevāha	eva + āha
yevāti	eva + iti
yeveso	eva + eso
yevettha	eva + ettha
sopāsi	so + api + āsi
svāhaṃ	so + ahaṃ
svāssāti	so + assa + iti
taṃmuhuttajātarattavacchasadisacakkhubhaṇḍoti	taṃ + muhutta + jāta + ratta + vaccha + sadisa + cakkhu + bhaṇḍo + iti
tetiādimāha	te + iti + ādiṃ + āha
yāvade	yāva + eva
tasmātiha	tasmā + iha
tasmātihāti	tasmā + iha + iti
ānetīti	āneti + iti
pireti	api + are + iti
ātūti	ātu + iti
kenacidevāti	kenaci + eva + iti
imināvārahāmevāhaṃ	iminā + eva + arahāmi + eva + ahaṃ
raññikiṭāgirināmo	arañña + kiṭāgiri + nāmo
itiha	iti + ha
itiha	iti + iha
itveva	iti + eva
āsāti	āsā + iti
kvatthoti	ko + attho + iti
āmāhanti	āma + ahaṃ + iti
dhīti	dhī + iti
itvevāti	iti + eva + iti
aduñhi	aduṃ + hi
alañhi	alaṃ + hi
alanti	alaṃ + iti
alamettāvatā	alaṃ + ettāvatā
alamidaṃ	alaṃ + idaṃ
alametanti	alaṃ + etaṃ + iti
kutassa	kuto + assa
asiñca	asiṃ + ca
asimeva	asiṃ + eva
asimāvudhañca	asiṃ + āvudhaṃ + ca
kevalinosmaseti	kevalino + asmase + iti
asmāti	asmā + iti
seyyaṃsoti	seyyaṃ + so + iti
seyyaṃsoti	seyyaṃso + iti
pāpiyaṃsoti	pāpiyaṃ + so + iti
pāpiyaṃsoti	pāpiyaṃso + iti
kathaṃsūti	kathaṃsu + iti
aññadeva	añña + eva
iticiticeva	iti + ca + iti + ca + eva
sammadeva	sammā + eva
kismiñcideva	kismiñci + eva
kismiñcideva	kismiṃ + ci + eva
yaññadeva	yaṃ + yad + eva
yāvadeva	yāva + eva
ahudeva	ahu + eva
kocideva	koci + eva
kiñcideva	kiñci + eva
kiñcideva	kiṃ + ci + eva
yāvadevāti	yāva + eva + iti
sakidevāti	saki + eva + iti
sammadevāti	sammā + eva + iti
bahudevarattiṃ	bahu + eva + rattiṃ
yāvatādohipīti	yāvatā + do + hi + api + iti
yāvatādohipi	yāvatā + do + hi + api
teyevāti	te + eva + iti
āyasmānoti	āyasmā + nu + iti
nāhametamatthaṃ	na + ahaṃ + etaṃ + atthaṃ
sukhīti	sukhī + iti
natveva	na + tu + eva
imināmahaṃ	iminā + ahaṃ
imināpaṅgena	iminā + api + aṅgena
metaṃ	me + etaṃ
mettha	me + ettha
meti	me + iti
mesi	me + asi
myāyaṃ	me + ayaṃ
māhu	ma + ahu
māhu	mā + ahu
nāhamettha	na + ahaṃ + ettha
alameva	alaṃ + eva
metthāti	me + ettha + iti
metiādimāha	me + iti + ādiṃ + āha
nāhamevaṃ	na + ahaṃ + evaṃ
noti	no + iti
yevassa	eva + assa
nevāyaṃ	na + eva + ayaṃ
sova	so + eva
nevarūpī	na + eva + rūpī
tuṇhībhūtova	tuṇhībhūto + eva
itihame	iti + ha + ime
nevidaṃ	na + eva + idaṃ
nevaṃ	na + evaṃ
nevatthi	na + eva + atthi
nevantavā	na + eva + antavā
atthāhaṃ	atthi + ahaṃ
tedha	te + idha
nayidaṃ	na + idaṃ
amāhaṃ	amuṃ + ahaṃ
amāhaṃ	ama + ahaṃ
yamahaṃ	yaṃ + ahaṃ
tayidaṃ	ta + idaṃ
natvevāti	na + tu + eva + iti
yamidaṃ	yaṃ + idaṃ
yamudāyi	yaṃ + udāyi
svepi	so + api
bhāvitamāsiṃsati	bhāvitaṃ + āsiṃsati
pādagaṇṭhirahu	pādagaṇṭhi + ahu
yadūpaghātāya	yad + upaghātāya
yadānulomikaṃ	yad + anulomikaṃ
micchaṃ	m + icchaṃ
tissu	iti + assu
yampicchaṃ	yaṃ + api + icchaṃ
namatthi	na + me + atthi
tāpāhaṃ	tā + api + ahaṃ
atthītissa	atthi + iti + assa
jitamhā	jita + amhā
nevasassato	na + eva + sassato
svāssudaṃ	so + assudaṃ
svāssudaṃ	so + sudaṃ
yañcassāhaṃ	yaṃ + ca + assa + ahaṃ
sopāgā	so + upagā
sopāgā	so + api + āgā
yaṃpāvuso	yaṃ + api + āvuso
vohaṃ	vo + ahaṃ
nevattānaṃ	na + eva + attānaṃ
yaṃnūna	yaṃ + nūna
vodhammā	vo + dhammā
nāmaso	nāma + so
mampi	maṃ + api
jhāyatisu	jhāyati + su
time	ti + ime
sopāga	so + upāga
svajja	so + ajja
yekeci	ye + keci
māssu	mā + ssu
yaṃnūnāhampi	yaṃ + nūna + ahaṃ + api
jalatisu	jalati + su
midhekacce	m + idha + ekacce
midhekacce	idha + ekacce
āmāvuso	āma + āvuso
yasassiso	yasassi + so
yasassiso	yasassī + so
jalatassu	jalati + assu
jhāyatassu	jhāyati + assu
nāvuso	na + āvuso
mahañca	mahaṃ + ca
āmoti	āmo + iti
tyāssa	te + assa
tyassu	te + assu
nevasassataṃ	na + eva + sassataṃ
yeso	yo + eso
piyāmesi	piyā + me + asi
aggohamasmi	aggo + ahaṃ + asmi
dhiratthu	dhi + atthu
nopi	no + api
yañcetaṃ	yaṃ + ca + etaṃ
yañceva	yaṃ + ca + eva
itova	ito + eva
māhevaṃ	mā + hi + evaṃ
aṭṭhāhaṃ	aṭṭha + ahaṃ
nāḷakaraññikiṭāgirināmo	nāḷaka + arañña + kiṭāgiri + nāmo
vihitakaṃno	vihitakaṃ + no
tiādivacanaṃ	iti + ādi + vacanaṃ
appicchassāyaṃ	appicchassa + ayaṃ
santuṭṭhassāyaṃ	santuṭṭhassa + ayaṃ
pavivittassāyaṃ	pavivittassa + ayaṃ
āraddhavīriyassāyaṃ	āraddhavīriyassa + ayaṃ
upaṭṭhitasatissāyaṃ	upaṭṭhitasatissa + ayaṃ
samāhitassāyaṃ	samāhitassa + ayaṃ
nippapañcassāyaṃ	nippapañcassa + ayaṃ
mapi	m + api
nevassu	na + eva + ssu
yidaṃ	y + idaṃ
yidaṃ	idaṃ
yañhissa	yaṃ + hi + assa
